id,name,category,city,lat,lng,note,website,created_at
60,Camas Country Mill,artisan,Junction City,44.11893,-123.1773,"When Tom and Sue Hunton opened Camas Country Mill in 2011, they brought local grain milling back to the Willamette Valley after nearly eighty years. The public-facing Schoolhouse Bakery & Store on Purkerson Road sells stone-milled flours, grains, breads, pastries, and pantry goods made from wheat, rye, spelt, einkorn, and other grains grown on Hunton's farm and regional partner farms. It is infrastructure disguised as a charming country stop: a working link between valley fields and the bakers, restaurants, and home cooks who care about Oregon grain.",https://www.camascountrymill.com,2026-04-18 18:12:07.555788
55,Ochoa's Queseria,artisan,Albany,44.63876,-123.09566,"Family-run Albany cheese shop known for queso fresco, string cheese, and other fresh Mexican-style cheeses. The draw is freshness and production scale you do not expect tucked into downtown Albany: stop during daytime shop hours for the widest selection, and call ahead if you are hoping to watch production or order in bulk.",,2026-04-17 21:35:49.118762
61,Blue Raeven Farmstand,farmstand,Amity,45.11038,-123.20773,"Third-generation family farm and roadside farmstand on Hwy 99W in Amity, best known for fruit pies, jams, jellies, and syrups made from Oregon berries and orchard fruit. The farm grows blueberries, marionberries, blackberries, strawberries, apples, peaches, and more, and the stand is currently open seven days a week. When you're driving between wineries and the pies are warm, stop.",https://www.blueraevenfarmstand.com,2026-04-27 04:08:32.070731
63,Draper Farms,farmstand,McMinnville,45.22654,-123.22923,"A four-generation Baker Creek Road farm and CSA growing more than 200 varieties of fruits and vegetables with natural, sustainable practices and a particular love for rare and heirloom seed. It is the practical farm stop closest to downtown McMinnville: sweet corn, berries, tomatoes, winter squash, flowers, and whatever the season is doing well that week.",https://www.drapersfarm.com,2026-04-27 04:08:32.070731
28,Gathering Together Farm,farmstand,Philomath,44.53133,-123.37286,"A certified organic farm outside Philomath, founded in 1987, with a farmstand, restaurant, CSA, and farmers-market presence. The farm grows roughly 40 crops in about 100 varieties across more than 67 acres, so the range is still the point: vegetables, fruit, pantry staples, and a kitchen that cooks directly from the fields.",https://www.gatheringtogetherfarm.com,2026-04-16 23:29:12.961004
49,Groundwork Organics,farmstand,Junction City,44.14266,-123.15045,"Certified organic farm north of Eugene growing fruits, vegetables, and cut flowers since 2000. The restored-dairy-barn FarmStand at 91360 River Road in Junction City is the visitor-facing stop, open seasonally Thursday through Sunday, with produce, flowers, fresh cheese, honey, and other local goods. You will also see them at farmers markets around the region.",https://www.groundworkorganics.com,2026-04-17 21:35:49.118762
27,Durant at Red Ridge Farms — Oregon Olive Mill,farmstand,Dayton,45.25623,-123.05826,"The Durant family's Dundee Hills farm is the home of Durant Olive Mill, founded in 2008 and now framed around olive-oil tastings, tours, a Farm Shop, nursery, vineyards, lavender, and pantry goods. The official current story is more precise than the old shorthand: Durant is Oregon-milled and estate-milled, with a 15-acre olive grove and oils made from its own olives plus outstanding growers elsewhere. The rare thing here is the full farm context and the Pacific Northwest's only Olioteca.",https://durantoregon.com/durant-olive-mill/,2026-04-16 23:29:12.961004
62,The Ground Market,farmstand,Yamhill,45.33,-123.184,"The Ground Market at 15713 Highway 47 is the retail home for The Ground's farm ecosystem and the Source Farms/Tabula Rasa Farms food program. Shop grass-fed beef and lamb, pastured pork and poultry, sustainable seafood, eggs, produce, and seasonal pantry goods. Current posted farmstand hours vary by channel but cluster around Thursday through Tuesday service, so confirm before making a special trip.",https://www.theground.love/food/the-ground-market,2026-04-27 04:08:32.070731
67,Abuela's Nuestra Cocina,restaurant,McMinnville,45.20981,-123.19737,"The Fernandez family brought their grandmother's kitchen to 226 NE 3rd Street in downtown McMinnville: tacos, burritos, bowls, breakfast sandwiches, and home-style Mexican cooking built around family recipes rather than wine-country gloss. It is exactly the kind of honest downtown lunch or harvest-season meal that keeps McMinnville feeling like a working valley town.",https://www.abuelasnuestracocina.com,2026-04-27 04:20:10.973779
68,Alchemist's Jam,restaurant,McMinnville,45.20945,-123.19342,"A small-batch jam shop, bakery, and coffee spot at 207 NE Ford Street, open Thursday through Sunday from 8 a.m. to 2 p.m. The best move is still early: sourdough, pastries, cinnamon rolls, espresso drinks, and jams made with local fruit tend to disappear, and the shop explicitly does not take bakery holds or special orders. Plan like it will sell out.",https://www.alchemistsjam.com,2026-04-27 04:20:10.973779
47,Bistro Maison,restaurant,McMinnville,45.21027,-123.19147,"McMinnville's long-running French bistro in a Victorian house on NE 3rd Street. The appeal is still the classic wine-country rhythm: warm hospitality, French comfort cooking, a garden-patio mood when the weather allows, and a menu built for lunch that turns into a long afternoon or dinner that does not hurry you out.",https://www.bistromaison.com,2026-04-17 21:35:49.118762
59,Block 15 Brewing,restaurant,Corvallis,44.5622,-123.2622,"Corvallis's anchor craft brewery and downtown pub, serving locally sourced Pacific Northwest pub food with serious beer. Founded in 2008, Block 15 has grown beyond the original pub, but the Jefferson Avenue room remains the place where OSU people, farmers, brewers, and serious drinkers cross paths over fresh beer and a kitchen that pulls its weight.",https://www.block15.com,2026-04-18 18:12:07.555788
69,Carlton Corners,restaurant,Carlton,45.29469,-123.17972,"Technically a gas station; practically a Carlton institution. The corner stop combines fuel, a diner-grill menu, a growler room, and ten rotating local and regional beer/cider taps. It is the unpolished room where winemakers, vineyard crews, farmhands, and visitors overlap after long days — burgers, sandwiches, pints, and a useful antidote to over-curated wine-country polish.",https://www.carltoncorners.com,2026-04-27 04:20:10.973779
48,Good Company Cheese & Wine Shop,restaurant,Newberg,45.30007,-122.97381,"A serious cheese-and-wine shop in Newberg that has intentionally simplified from its earlier full bar/bistro format to focus on what it does best: cut-to-order cheese, charcuterie, small plates, accompaniments, and good bottles. Small room, professional cheesemonger, no performance of attitude — an ideal post-tasting stop or picnic-provisioning stop.",https://www.goodcompanycheese.com,2026-04-17 21:35:49.118762
38,Hayward,restaurant,Carlton,45.2946,-123.1788,"Chef Kari Shaughnessy's restaurant moved from McMinnville's Mac Market into a standalone Carlton home in 2025, carrying its James Beard momentum with it: Best New Restaurant finalist in 2024 and Best Chef: Northwest semifinalist in 2025. The cooking remains hyper-seasonal, low-waste, and producer-driven, with the room now feeling more like a hosted house party than a wine-country showroom.",https://www.haywardrestaurant.com,2026-04-16 23:38:04.378644
