id,name,category,city,lat,lng,note,website,created_at
52,Briar Rose Creamery,artisan,Dundee,45.28724,-123.04148,"Cheesemaker Sarah Marcus works in a 120-square-foot tasting room nestled in the Dundee Hills above the valley — Pinot vineyards on every side, forest above. Seasonal, limited-edition cheeses designed specifically to pair with Oregon Pinot Noir: from spreadable Fromage Blanc to the aged Callisto. The chocolate truffles rolled in fromage blanc and cocoa are worth the trip on their own.",https://www.briarrosecreamery.com,2026-04-17 21:35:49.118762
60,Camas Country Mill,artisan,Junction City,44.11893,-123.1773,"When Tom and Sue Hunton opened this mill in 2011, they revived something that had disappeared from the Willamette Valley for nearly eighty years — local grain milling. Heritage and heirloom wheat, rye, spelt, and einkorn grown on valley farms, stone-milled on site, and delivered to the bakers and chefs whose bread defines the regional table. Tartine's Chad Robertson has sourced from here; so have the valley's best kitchens. The farm store is small and the selection rotates with the harvest. This is infrastructure disguised as a charming country mill.",https://www.camascountrymill.com,2026-04-18 18:12:07.555788
55,Ochoa's Queseria,artisan,Albany,44.63876,-123.09566,"Family-run since 2005, named for the founder's father. Their hand-pulled Liliana's string cheese won Best String Cheese at the American Cheese Society in both 2023 and 2024 — back to back. The 9,000-square-foot operation in Albany is one of the Willamette Valley's most surprising artisan food stories. Watch the stretching process on weekdays.",,2026-04-17 21:35:49.118762
61,Blue Raeven Farmstand,farmstand,Amity,45.11038,-123.20773,"A genuine Yamhill County institution — the kind of roadside farm stand that earns its reputation over decades rather than Instagram campaigns. Blue Raeven grows its own fruit and bakes pies daily from what's ripe: Marionberry, peach, blueberry, apple, cherry. The jams and jellies are made from the same estate fruit. Open six days a week year-round. When you're driving between wineries on 99W and the pies are warm — stop. This is exactly what farm stand culture is supposed to look like.",https://www.blueraevenfarmstand.com,2026-04-27 04:08:32.070731
63,Draper Farms,farmstand,McMinnville,45.22701,-123.22969,"The workhorse farm stand closest to downtown McMinnville — a big barn operation on Baker Creek Road with a CSA program and genuine seasonal range. The kind of place where you stop for sweet corn in August and come back for winter squash in October. Open daily dawn to dusk through the growing season. If you're in McMinnville for wine country and realize you want to cook something local for dinner, this is your first stop.",https://www.drapersfarm.com,2026-04-27 04:08:32.070731
28,Gathering Together Farm,farmstand,Philomath,44.53133,-123.37286,"One of the Willamette Valley's most respected organic farms, supplying restaurants from Portland to Eugene. The on-farm store and CSA sell direct to the public, and the farm stand at the Eugene Farmers Market is a Thursday-morning institution. They grow hundreds of varieties of vegetables — the diversity alone is worth the visit.",https://www.gatheringtogetherfarm.com,2026-04-16 23:29:12.961004
49,Groundwork Organics,farmstand,Junction City,44.14266,-123.15045,Family-scale certified organic farm in the southern valley — and the farm where Antica Terra's chef Timothy Wastell occasionally works markets alongside the growers. That kind of chef-farmer relationship is exactly what makes the valley's ingredient sourcing so credible. Find them at farmers markets from Eugene to Portland throughout the season.,,2026-04-17 21:35:49.118762
27,Red Ridge Farms — Oregon Olive Mill,farmstand,Dayton,45.25623,-123.05826,"The Durant family's 200-acre hazelnut and olive farm in the Dundee Hills produces Oregon's finest estate olive oil. The Olive Mill is the only estate olive oil producer in the Pacific Northwest — the oil is pressed from the estate's Arbequina, Arbosana, and Koroneiki trees, harvested in November. The farm store carries the olive oil, Durant Vineyards wines, and local pantry goods. This is a genuine farm, not a lifestyle brand.",https://www.redridgefarms.com,2026-04-16 23:29:12.961004
62,The Ground Market,farmstand,Yamhill,45.33,-123.184,"Tabula Rasa Farms and Kookoolan Farms joined forces here to build something genuinely unusual in a wine-country landscape dominated by grapes — a regenerative farm stand where sustainable seafood shares space with seasonal produce and artisanal pantry goods. The combination is not gimmicky: it reflects how Pacific Northwest chefs actually shop, sourcing land and sea from the same trusted network. Open Thursday through Monday year-round, which is rare for any farm operation in the valley. Worth the short detour off Hwy 47 north of McMinnville.",https://www.thegroundmarket.love,2026-04-27 04:08:32.070731
67,Abuela's Nuestra Cocina,restaurant,McMinnville,45.20981,-123.19737,"The Fernandez family brought their grandmother's kitchen to 3rd Street in downtown McMinnville — heirloom recipes, tacos, burritos, and breakfast sandwiches made with the care of people cooking for their own family. Winemakers come here because the food is honest and the sourcing is real. This is where the Latin agricultural labor force and the wine country culinary world actually intersect at the table. Endorsed by name by multiple Yamhill County winemakers as their go-to mid-harvest meal.",https://www.abuelasnuestracocina.com,2026-04-27 04:20:10.973779
68,Alchemist's Jam,restaurant,McMinnville,45.20945,-123.19342,"A tiny artisan bakery and jam shop open Thursday through Sunday — and everything sells out. The sourdough cinnamon rolls are legend in the valley: savory-sweet balance, proper ferment, made fresh each morning. Morgan Beck of Johan Vineyards named them his favorite thing in the entire wine country. The jams are made with the same seriousness as the bread. Show up early. If you're in McMinnville for more than a day, you will eat here twice.",https://www.alchemistsjam.com,2026-04-27 04:20:10.973779
